op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For rent,centrs,Stabu 92,3,103.0,3.0,6.0,Renov.,Masonry,All amenities,690.0,56.9499106,24.14079923873239
For rent,Šampēteris-Pleskodāle,Lielirbes 11,3,131.0,24.0,25.0,Jaun.,Masonry,All amenities,1400.0,56.934064500000005,24.043638100000003
For sale,Ķengarags,Aglonas 16,3,61.0,5.0,5.0,LT proj.,Panel,All amenities,59500.0,56.9101647,24.18655327153561
For rent,Āgenskalns,Tukuma 1,2,71.0,1.0,2.0,P. kara,Wood,All amenities,500.0,56.93300455,24.0704339
For rent,centrs,Avotu 59,3,115.0,4.0,4.0,P. kara,Brick,All amenities,600.0,56.952757999999996,24.142056399999998
For sale,Ķengarags,Prūšu 4,2,43.0,2.0,5.0,Jaun.,Panel,All amenities,53550.0,56.914674700000006,24.181507934641882
For rent,Āgenskalns,Vīlipa 12,2,68.0,5.0,9.0,Jaun.,Panel-Brick,All amenities,550.0,56.94825305,24.05532856354439
For sale,Sarkandaugava,Sarkandaugavas 26,1,29.0,3.0,5.0,Hrušč.,Brick,All amenities,23000.0,57.0021488,24.1248028
For sale,Mežciems,Biķernieku 160,3,77.0,3.0,5.0,Jaun.,Panel-Brick,All amenities,134000.0,56.9569585,24.253680399999997
For rent,centrs,Barona 76,3,58.0,5.0,6.0,Renov.,Masonry,All amenities,680.0,56.95643795,24.132572982155622
For rent,centrs,Čaka 86,3,61.0,2.0,3.0,P. kara,Masonry,All amenities,340.0,56.956915599999995,24.1378861
For rent,Iļģuciems,Stūres 2,1,18.0,3.0,5.0,M. ģim.,Brick,All amenities,130.0,56.969220299999996,24.069493731814195
For sale,centrs,Ausekļa 2,3,67.0,5.0,5.0,P. kara,Masonry,All amenities,180000.0,56.9597157,24.100350262368465
For rent,Bolderāja,Lielā 25,3,64.0,2.0,2.0,Priv. m.,Wood,All amenities,290.0,57.03653015,24.041591700000005
For rent,Teika,Struktoru 4,1,32.0,5.0,5.0,Specpr.,Brick-Panel,All amenities,225.0,56.97368670000001,24.172150058347732
For rent,centrs,Blaumaņa 36,5,140.0,5.0,5.0,P. kara,Masonry,All amenities,290.0,56.95172905,24.125814894424444
For rent,centrs,Klusā 20,1,30.0,3.0,9.0,Jaun.,Panel,All amenities,30.0,56.97650505,24.146495835700925
For sale,Vecmīlgrāvis,Meldru 4,2,45.0,3.0,5.0,Hrušč.,Brick,All amenities,35000.0,57.027858900000005,24.1029177
For sale,Zolitūde,Irlavas 2,1,39.0,2.0,3.0,Specpr.,Masonry,All amenities,38700.0,56.9368446,24.04000326756055
For rent,centrs,Riepnieku 2,4,104.0,2.0,5.0,Staļina,Brick,All amenities,680.0,56.9447289,24.124212
For rent,centrs,Visvalža 7,3,83.0,1.0,5.0,Staļina,Masonry,All amenities,660.0,56.94794924999999,24.13044576823041
For sale,Ziepniekkalns,Valdeķu 62,3,62.0,4.0,9.0,602.,Panel,All amenities,60000.0,56.90102635,24.093994112790323
For rent,Āgenskalns,Liepājas 34,4,94.0,3.0,4.0,Jaun.,Panel,All amenities,800.0,56.9313946,24.070627124121195
For rent,Purvciems,Stirnu 13a,2,46.0,1.0,6.0,Jaun.,Panel,All amenities,35.0,56.95534335,24.17919806381783
For sale,centrs,Valdemāra 57,4,94.0,3.0,7.0,P. kara,Masonry,All amenities,210000.0,56.960378000000006,24.1197764
For sale,Jugla,Murjāņu 36,2,47.0,2.0,5.0,Hrušč.,Brick,All amenities,37500.0,56.97863375,24.247480052995385
For rent,centrs,Stabu 62,5,98.0,2.0,5.0,P. kara,Masonry,All amenities,690.0,56.9527501,24.1355324
For sale,Ziepniekkalns,Bātas 3a,3,145.0,3.0,4.0,Jaun.,Panel,All amenities,189805.0,56.90785995,24.085734
For rent,Ķengarags,Maskavas 250/11,2,46.0,2.0,5.0,LT proj.,Panel,All amenities,250.0,56.94444085,24.112362857005763
For rent,Ziepniekkalns,Bikstu 6,2,46.0,3.0,6.0,Jaun.,Brick-Panel,All amenities,450.0,56.90884755,24.079437051352325
For rent,Pļavnieki,Zemes 3,2,50.0,3.0,9.0,602.,Panel,All amenities,299.0,56.942271,24.197206777858337
For rent,centrs,Avotu 76,1,25.0,2.0,2.0,P. kara,Wood,All amenities,230.0,56.9534503,24.1464076
For rent,centrs,Indrānu 8,2,56.0,2.0,7.0,Jaun.,Brick-Panel,All amenities,670.0,56.968497899999996,24.1467035
For sale,Purvciems,Stirnu 53,3,60.0,5.0,5.0,LT proj.,Panel,All amenities,42999.0,56.9636426,24.19365476584691
For sale,Jugla,Murjāņu 52,2,47.0,5.0,5.0,LT proj.,Panel,All amenities,33500.0,56.977810399999996,24.25133990899673
For sale,Bolderāja,Lielupes 1/1,3,74.0,1.0,2.0,Staļina,Brick,All amenities,45000.0,57.0381797,24.0479802
For sale,Sarkandaugava,Kadiķu 3,1,33.0,2.0,2.0,Renov.,Brick,All amenities,29600.0,56.99844075,24.11982759128596
For sale,centrs,Bruņinieku 78,2,50.0,4.0,4.0,P. kara,Masonry,All amenities,35000.0,56.95086155,24.141873651747442
For rent,Jaunciems,Jaunciema g. 167,1,15.0,3.0,3.0,Specpr.,Wood,Partial amenities,50.0,57.03411800000001,24.1267927
For sale,Āgenskalns,Ormaņu 27,2,40.0,1.0,2.0,P. kara,Wood,Partial amenities,33000.0,56.939375399999996,24.0705981
For sale,Šķirotava,Gravas 17,3,91.0,1.0,5.0,Jaun.,Panel,All amenities,96000.0,56.9051509,24.229588797755518
For sale,centrs,M. Matīsa 3,1,21.0,1.0,5.0,Staļina,Brick,All amenities,18500.0,56.9437711,24.158132657072887
For rent,Āgenskalns,M. Nometņu 73,2,62.0,2.0,4.0,P. kara,Masonry,All amenities,450.0,56.93758345000001,24.057990142381787
For rent,centrs,Rūpniecības 11,3,97.0,4.0,5.0,Renov.,Masonry,All amenities,1600.0,56.960830200000004,24.1030076
For rent,Daugavgrīva,Parādes 28,1,35.0,1.0,5.0,Hrušč.,Masonry,All amenities,210.0,57.038243099999995,24.02246794999999
For sale,Pļavnieki,Tīnūžu 12,4,73.0,3.0,9.0,467.,Panel,All amenities,65000.0,56.93399695,24.2075576
For sale,Mežaparks,Hamburgas 16,6,208.0,2.0,3.0,Priv. m.,Masonry,All amenities,209000.0,56.99799920000001,24.1641228
For rent,Pļavnieki,Lubānas 115,1,44.0,5.0,9.0,M. ģim.,Panel,All amenities,320.0,56.933269200000005,24.19880059939075
For rent,centrs,Deglava 9,2,80.0,6.0,6.0,Renov.,Masonry,All amenities,480.0,56.95366729999999,24.15464802864273
For rent,centrs,Zaubes 4,3,110.0,6.0,6.0,P. kara,Masonry,All amenities,800.0,56.96266715,24.1224049
For rent,Maskavas priekšpilsēta,Ludzas 17,2,37.0,5.0,5.0,P. kara,Brick,All amenities,375.0,56.94079415,24.141746750337308
For sale,Iļģuciems,Vaidelotes 26,1,28.0,3.0,5.0,Hrušč.,Brick,All amenities,24000.0,56.96648980000001,24.0486124
For sale,Purvciems,Brantkalna 13,3,79.0,2.0,9.0,119.,Panel,All amenities,76000.0,56.94971275,24.1947291
For sale,centrs,Dzirnavu 107,2,30.0,1.0,4.0,P. kara,Brick,All amenities,65000.0,56.950847399999994,24.1241128
For sale,Jugla,Salamandras 3,1,44.0,2.0,7.0,Specpr.,Brick,All amenities,40000.0,56.9933665,24.230064600000002
For sale,centrs,Čaka 68,3,59.0,2.0,6.0,P. kara,Brick,All amenities,80000.0,56.9555119,24.135235100000003
For rent,Zolitūde,Ruses 24,3,75.0,4.0,9.0,119.,Panel,All amenities,490.0,56.94617195,24.00878725
For sale,Āgenskalns,Kuldīgas 32,4,112.0,3.0,6.0,Renov.,Masonry,All amenities,145000.0,56.947470499999994,24.0604076
For rent,Šampēteris-Pleskodāle,Kalnciema 135,2,30.0,2.0,3.0,Renov.,Wood,All amenities,350.0,56.93501385,24.035287290389718
For sale,centrs,Hospitāļu 22,5,138.0,4.0,4.0,P. kara,Masonry,All amenities,168000.0,56.97311445,24.137808019650922
For rent,Imanta,Anniņmuižas bulvāris 38,2,80.0,8.0,18.0,Jaun.,Brick-Panel,All amenities,520.0,56.96112105,24.018216795250048
For sale,Vecrīga,M. Smilšu 11,1,18.0,2.0,4.0,P. kara,Masonry,All amenities,44500.0,56.95014635,24.109260730515818
For sale,Imanta,Akāciju 2e,3,60.0,7.0,9.0,Jaun.,Panel,All amenities,104949.0,56.9518586,24.004945679155327
For sale,Imanta,Akāciju 2d,4,78.0,8.0,9.0,Jaun.,Panel,All amenities,133722.0,56.95141320000001,24.00387617537462
For sale,Imanta,Akāciju 2d,2,51.0,6.0,9.0,Jaun.,Panel,All amenities,87365.0,56.95141320000001,24.00387617537462
For sale,Imanta,Akāciju 2e,4,78.0,5.0,9.0,Jaun.,Panel,All amenities,130203.0,56.9518586,24.004945679155327
For sale,Imanta,Akāciju 2d,4,78.0,6.0,9.0,Jaun.,Panel,All amenities,130985.0,56.95141320000001,24.00387617537462
For sale,Imanta,Akāciju 2d,2,45.0,7.0,9.0,Jaun.,Panel,All amenities,79502.0,56.95141320000001,24.00387617537462
For sale,Mangaļsala,Traleru 19,1,36.0,5.0,5.0,103.,Brick-Panel,All amenities,31000.0,57.0621312,24.054251500000003
For sale,Ķengarags,Ikšķiles 4,2,45.0,4.0,5.0,LT proj.,Panel,All amenities,45000.0,56.90080385,24.20703229999999
For sale,Purvciems,Dzelzavas 71,2,50.0,7.0,9.0,467.,Panel,All amenities,43000.0,56.95622285,24.19811369525425
For sale,Purvciems,Dudajeva g. 4,2,50.0,5.0,5.0,LT proj.,Panel,All amenities,45000.0,56.9570069,24.198736800000002
For sale,Pļavnieki,Jasmuižas 1,4,113.0,12.0,12.0,Specpr.,Brick,All amenities,109000.0,56.9375255,24.206141600000002
For sale,Ķengarags,Ķengaraga 8,3,62.0,3.0,5.0,Jaun.,Panel-Brick,All amenities,101200.0,56.91588075,24.16577763486985
For sale,Āgenskalns,Slokas 31,4,137.0,1.0,4.0,Renov.,Masonry,Partial amenities,259737.0,56.94814375,24.071935578798712
For sale,Āgenskalns,Mārtiņa 8c,4,137.0,1.0,4.0,Renov.,Masonry,All amenities,259737.0,56.9483988,24.072228600000003
For sale,Āgenskalns,Ernestīnes 8,3,91.0,2.0,3.0,Jaun.,Masonry,All amenities,145000.0,56.9425629,24.07268567832425
For sale,centrs,Ģertrūdes 99,2,37.0,3.0,6.0,P. kara,Masonry,All amenities,45000.0,56.94999685,24.136413900628373
For sale,Ziepniekkalns,Dignājas 1a,3,65.0,2.0,4.0,Jaun.,Masonry,All amenities,101693.0,56.9126889,24.1234641
For sale,Čiekurkalns,Skultes 5,2,55.0,3.0,3.0,Jaun.,Masonry,All amenities,64000.0,56.9849578,24.183133997237572
For rent,centrs,Strēlnieku 7,3,85.0,2.0,7.0,Jaun.,Masonry,All amenities,1150.0,56.9596279,24.107990899999997
For rent,centrs,Čaka 117,3,69.0,4.0,6.0,P. kara,Masonry,All amenities,480.0,56.9590876,24.14123176473269
For rent,centrs,Brīvības iela 74,3,100.0,6.0,6.0,P. kara,Masonry,All amenities,800.0,56.957945499999994,24.124457500000002
For sale,Purvciems,Biķernieku 49,3,55.0,1.0,5.0,Hrušč.,Panel-Brick,All amenities,43900.0,56.96977985,24.180475776100945
For rent,Zolitūde,Liedes 2,3,89.0,3.0,4.0,Jaun.,Panel-Brick,All amenities,580.0,56.944466299999995,24.025576046178468
For rent,Iļģuciems,Garā 18,3,62.0,2.0,5.0,LT proj.,Panel-Brick,All amenities,390.0,56.96857855,24.05579366382192
For sale,Šampēteris-Pleskodāle,Ventspils 65a,1,37.0,1.0,3.0,Renov.,Brick,All amenities,35000.0,56.93551360000001,24.0425072
For rent,Vecrīga,Vecpilsētas 11,1,35.0,3.0,3.0,Renov.,Masonry,All amenities,250.0,56.9461669,24.1124689
For sale,centrs,Dzirnavu 60,2,74.0,4.0,5.0,P. kara,Masonry,All amenities,143000.0,56.954435399999994,24.1200833
For sale,Mežciems,Kaivas 29,3,80.0,2.0,5.0,Jaun.,Panel-Brick,All amenities,140000.0,56.9503372,24.24451410156045
For sale,centrs,Avotu 7,4,153.0,5.0,6.0,P. kara,Masonry,All amenities,160000.0,56.950944400000004,24.12835777122905
For sale,centrs,Čaka 63,4,90.0,2.0,5.0,P. kara,Masonry,All amenities,116000.0,56.955640100000004,24.13449260640061
For sale,Ķengarags,Višķu 15,2,48.0,1.0,5.0,LT proj.,Panel,All amenities,40000.0,56.90015325,24.211925772526392
For sale,Purvciems,Pūces 51,3,63.0,5.0,9.0,602.,Panel,All amenities,68000.0,56.95350215000001,24.192131770328075
For sale,Sarkandaugava,Alekša 11,1,27.1,2.0,4.0,P. kara,Masonry,All amenities,18000.0,56.99365285,24.12466216854697
For sale,Imanta,Tālavas g. 13,2,49.0,1.0,5.0,LT proj.,Panel,All amenities,46900.0,56.9559247,24.0014761
For sale,Šampēteris-Pleskodāle,Lielirbes 11,3,94.0,10.0,25.0,Jaun.,Panel,All amenities,169000.0,56.934064500000005,24.043638100000003
For sale,Purvciems,Dzelzavas 13,2,44.0,4.0,5.0,Hrušč.,Brick,All amenities,39000.0,56.9636785,24.170616738324558
For rent,centrs,Dzirnavu 102a,6,85.0,2.0,2.0,P. kara,Brick,All amenities,290.0,56.94921145,24.124150514240284
For sale,centrs,Eksporta 18,2,38.0,5.0,3.0,Hrušč.,Brick,All amenities,49000.0,56.956763,24.0954531
For rent,Āgenskalns,Auces 3,2,48.0,1.0,3.0,P. kara,Masonry,All amenities,270.0,56.94292565000001,24.0818583876236
For sale,Pļavnieki,Deglava 122,3,79.0,4.0,9.0,119.,Panel,All amenities,71100.0,56.94708265,24.19762763990448
For rent,Ziepniekkalns,Ozolciema 14,3,77.0,5.0,9.0,Specpr.,Panel,All amenities,410.0,56.898948600000004,24.08438935
For rent,Klīversala,Klīveru 1,1,33.0,4.0,4.0,P. kara,Masonry,All amenities,324.0,56.94306285,24.09127711461696
For rent,centrs,Sadovņikova 39,2,32.0,3.0,7.0,Renov.,Masonry,All amenities,330.0,56.941232799999995,24.135058899999997
For rent,centrs,Lejas 20,1,33.0,1.0,2.0,P. kara,Wood,All amenities,200.0,56.9747442,24.1414585
For sale,Mežaparks,Ezermalas 2a,3,78.0,1.0,12.0,Specpr.,Brick,All amenities,80000.0,56.992542099999994,24.193121253063588
For sale,centrs,Miera 105,4,101.0,6.0,6.0,Renov.,Masonry,All amenities,155000.0,56.96657629999999,24.1337504
For sale,centrs,Miera 5,3,95.0,5.0,6.0,Renov.,Masonry,All amenities,133280.0,56.96657629999999,24.1337504
For sale,Pļavnieki,Salnas 13,1,33.0,4.0,9.0,602.,Panel,All amenities,39500.0,56.9426821,24.226088712647577
For sale,centrs,Birznieka-Upīša 10,2,43.0,3.0,6.0,Renov.,Masonry,All amenities,98900.0,56.9488745,24.12660274460919
For sale,centrs,Lāčplēša 48,2,58.0,2.0,6.0,P. kara,Masonry,All amenities,125000.0,56.95242629999999,24.1287007
For sale,Voleri,Daugavgrīvas š. 49,2,59.0,1.0,1.0,P. kara,Brick,Partial amenities,27000.0,57.0164335,24.062864899999997
For sale,Imanta,Dubultu 19,2,50.0,5.0,5.0,LT proj.,Panel,All amenities,57000.0,56.95623425,24.004329575633637
For rent,centrs,Lāčplēša 52,3,57.0,3.0,3.0,P. kara,Brick,All amenities,580.0,56.95207070000001,24.1293968
For rent,centrs,Tērbatas 93,3,95.0,3.0,5.0,P. kara,Masonry,All amenities,800.0,56.96105855,24.136996089997744
For sale,Zasulauks,M. Kuldīgas 4,1,22.0,2.0,2.0,P. kara,Wood,Without amenities,6900.0,56.94158095,24.053948728934483
For sale,Iļģuciems,Dzirciema 71,2,54.0,6.0,9.0,602.,Panel,All amenities,51000.0,56.96512045,24.054982889336852
For sale,Ķengarags,Maskavas 258,2,48.0,2.0,5.0,LT proj.,Panel,All amenities,36500.0,56.8597884,24.3083417
For sale,centrs,Birznieka-Upīša 10,1,23.0,2.0,6.0,Renov.,Masonry,All amenities,58905.0,56.9488745,24.12660274460919
For rent,Imanta,Rigondas g. 10,3,63.0,9.0,9.0,602.,Panel,All amenities,430.0,56.9648157,24.019053399999997
For sale,centrs,Brīvības iela 129,2,54.0,4.0,5.0,P. kara,Masonry,All amenities,75000.0,56.9640549,24.138750552550718
For sale,Vecmīlgrāvis,Dombrovska 45,3,65.0,5.0,9.0,602.,Panel,All amenities,72000.0,57.03471075,24.100380867994414
For rent,Pļavnieki,Rudens 12,1,32.0,8.0,9.0,602.,Panel,All amenities,220.0,56.936814299999995,24.200280743153147
For sale,Purvciems,Žagatu 20a,3,62.0,1.0,9.0,602.,Brick-Panel,All amenities,55000.0,56.96295835,24.18734441334219
For sale,Teika,Ķeguma 52/2,3,69.0,3.0,5.0,103.,Brick-Panel,All amenities,75000.0,56.9627267,24.198875
For sale,centrs,Krasta 25,2,53.0,4.0,4.0,P. kara,Masonry,All amenities,35000.0,56.93950425,24.122256343325702
For sale,centrs,Maskavas 131,2,70.0,2.0,4.0,Renov.,Masonry,All amenities,79999.0,56.8597884,24.3083417
For sale,centrs,Ģertrūdes 99,2,42.0,3.0,6.0,Renov.,Masonry,All amenities,75708.0,56.94999685,24.136413900628373
For sale,centrs,Matīsa 69,2,64.0,2.0,7.0,Jaun.,Panel-Brick,All amenities,114900.0,56.9538485,24.1405336
For sale,Purvciems,Ilūkstes 103/2,4,75.0,5.0,9.0,467.,Panel,All amenities,78000.0,56.94058670000001,24.1951866
For rent,centrs,Brīvības iela 52,5,133.0,4.0,5.0,P. kara,Brick,All amenities,59.0,56.9556466,24.120506600000002
For sale,centrs,Katrīnas d. 24,3,84.0,3.0,3.0,P. kara,Masonry,All amenities,119800.0,56.9716816,24.1021951
For rent,Zolitūde,Liedes 28,2,57.0,3.0,4.0,Jaun.,Masonry,All amenities,480.0,56.94283395,24.02040137468294
For rent,Sarkandaugava,Limbažu 9,2,40.0,4.0,5.0,Hrušč.,Brick,All amenities,335.0,57.000306099999996,24.1247948
For sale,Vecrīga,M. Smilšu 11,1,24.0,4.0,4.0,P. kara,Brick,All amenities,58000.0,56.95014635,24.109260730515818
For rent,Pļavnieki,Saharova 7,1,43.0,1.0,9.0,M. ģim.,Panel-Brick,All amenities,280.0,56.93515745,24.200200711641088
For sale,centrs,Zirņu 6,2,44.0,6.0,6.0,Specpr.,Brick,All amenities,46400.0,56.8597884,24.3083417
For sale,Purvciems,Dudajeva g. 9,3,60.0,5.0,5.0,LT proj.,Panel,All amenities,59500.0,56.9570069,24.198736800000002
For sale,centrs,Ganību d. 15,1,30.0,3.0,6.0,P. kara,Brick,All amenities,46800.0,56.9928319,24.1224521
For sale,Āgenskalns,Zeļļu 15,1,21.0,1.0,2.0,P. kara,Wood,Partial amenities,14500.0,56.935334499999996,24.0737985
For rent,Vecmīlgrāvis,Kalngales 8,1,36.0,9.0,9.0,602.,Panel,All amenities,220.0,57.03939135,24.10252045551797
For rent,centrs,Miera 101,2,52.0,2.0,5.0,P. kara,Masonry,All amenities,420.0,56.96657629999999,24.1337504
For sale,centrs,Blaumaņa 21,2,80.0,1.0,5.0,P. kara,Masonry,All amenities,106100.0,56.95264935,24.125906961191163
For rent,centrs,Lejas 7b,1,20.0,2.0,3.0,P. kara,Masonry,All amenities,25.0,56.9747442,24.1414585
For sale,centrs,Birznieka-Upīša 13,2,53.5,6.0,7.0,Jaun.,Panel,All amenities,137000.0,56.94932950000001,24.126489205607477
For sale,Mežciems,Kaivas 31,3,71.0,1.0,4.0,Jaun.,Brick,All amenities,143000.0,56.95022945,24.247581468723002
For rent,centrs,Duntes 48,1,25.0,4.0,6.0,P. kara,Masonry,All amenities,130.0,56.99189845,24.127666923956397
For sale,centrs,Cēsu 41,1,24.0,2.0,2.0,P. kara,Masonry,All amenities,28000.0,56.96656595,24.143643899999997
For sale,centrs,Brīvības iela 150,5,123.0,2.0,6.0,P. kara,Masonry,All amenities,125000.0,56.96470229999999,24.141613336026765
For sale,Daugavgrīva,Plēksnes 1,2,54.0,4.0,5.0,103.,Brick-Panel,All amenities,31000.0,57.03920265,24.0321564328147
For sale,Imanta,Rigondas g. 7,1,31.0,9.0,12.0,Čehu pr.,Brick,All amenities,34000.0,56.9648157,24.019053399999997
For sale,Imanta,Dammes 27,3,63.0,8.0,9.0,602.,Panel,All amenities,60000.0,56.96468165,24.009113874970822
For rent,Imanta,Dammes 31,1,37.0,3.0,9.0,602.,Panel,All amenities,250.0,56.96469885,24.007582175896918
For rent,Maskavas priekšpilsēta,Maskavas 109,1,26.0,2.0,2.0,Renov.,Masonry,All amenities,295.0,56.8597884,24.3083417
For rent,Ziepniekkalns,Ozolciema 30,1,43.0,9.0,9.0,M. ģim.,Panel-Brick,All amenities,250.0,56.89981695,24.096533733538518
For sale,Purvciems,Burtnieku 35,1,12.0,2.0,4.0,Hrušč.,Brick,Partial amenities,13000.0,56.96760975,24.181353900357145
For sale,Mežciems,Kaivas 31,2,64.0,2.0,3.0,Specpr.,Panel-Brick,All amenities,114000.0,56.95022945,24.247581468723002
For rent,Krasta r-ns,Lubānas 6,2,51.0,3.0,9.0,467.,Panel,All amenities,350.0,56.9350799,24.16326860169653
For sale,Purvciems,Ūnijas 74a,2,37.6,2.0,5.0,LT proj.,Panel,All amenities,35000.0,56.9607141,24.18195212169157
For sale,Imanta,Zentenes 18,2,49.0,7.0,9.0,602.,Panel,All amenities,46000.0,56.9618626,24.003491021455986
For rent,Vecdaugava,Atlantijas 30,1,30.0,3.0,4.0,Hrušč.,Masonry,All amenities,180.0,57.044461,24.092497382702728
For rent,Imanta,Jūrmalas g. 91,2,50.0,4.0,5.0,LT proj.,Panel,All amenities,290.0,56.952975,24.016697100000002
For sale,centrs,Matīsa 85,1,56.0,6.0,6.0,P. kara,Masonry,All amenities,67000.0,56.9526541,24.143315700000002
For sale,Iļģuciems,Lidoņu 5,2,50.0,1.0,5.0,LT proj.,Panel,All amenities,45000.0,56.971904200000004,24.06952528790947
For rent,centrs,Bruņinieku 81,1,23.0,3.0,5.0,P. kara,Masonry,All amenities,235.0,56.951915500000005,24.14045271600791
For sale,Pļavnieki,Ilūkstes 1,5,98.0,2.0,5.0,103.,Brick,All amenities,103000.0,56.9493595,24.200759376971888
For rent,Mežaparks,Gdaņskas 11,3,75.0,1.0,3.0,Specpr.,Masonry,All amenities,670.0,56.99959449999999,24.15429215
For sale,centrs,Hospitāļu 1,4,92.0,4.0,7.0,Specpr.,Brick,All amenities,162000.0,56.968844,24.135320899999996
For sale,Imanta,Anniņmuižas bulvāris 43,2,94.0,13.0,24.0,Specpr.,Masonry,All amenities,147000.0,56.95903060000001,24.013887042852996
For rent,Imanta,Kleistu 205,2,45.0,1.0,1.0,Priv. m.,Wood,All amenities,32.0,56.96757370000001,24.0276706
For rent,centrs,Čaka 70,3,120.0,2.0,5.0,P. kara,Brick,All amenities,15.0,56.9557185,24.1356095
For rent,centrs,Avotu 64,2,42.0,1.0,5.0,P. kara,Masonry,All amenities,300.0,56.9525397,24.142078899999998
For sale,Mežciems,Biķernieku 9,3,83.3,3.0,4.0,Jaun.,Panel,All amenities,135000.0,56.95868265,24.241435392928327
For sale,Purvciems,Stirnu 37a,4,74.0,4.0,9.0,602.,Panel,Partial amenities,80000.0,56.96230215,24.186965214982013
For sale,Imanta,Dammes 1,2,50.0,8.0,9.0,602.,Panel,All amenities,57500.0,56.9608459,24.012099291280585
For rent,Jugla,Kvēles 24,1,36.0,8.0,12.0,M. ģim.,Brick-Panel,All amenities,230.0,56.97628960000001,24.24275542931075
For rent,centrs,Jēzusbaznīcas 20,1,8.0,4.0,4.0,P. kara,Brick-Panel,All amenities,100.0,56.943024300000005,24.1257985
For sale,Āgenskalns,Kristapa 26,2,43.0,5.0,5.0,Hrušč.,Panel,All amenities,49000.0,56.94560915,24.06801440138549
For sale,Šķirotava,Sila 2/3,3,50.0,1.0,2.0,Specpr.,Wood,Partial amenities,15000.0,56.907734700000006,24.222636899999998
For sale,centrs,Birznieka-Upīša 13,3,79.0,3.0,7.0,Jaun.,Brick-Panel,All amenities,197000.0,56.94932950000001,24.126489205607477
For sale,Jugla,Murjāņu 42,2,45.0,1.0,5.0,Hrušč.,Panel,All amenities,42000.0,56.9776497,24.248527740540155
For sale,centrs,Indrānu 8,3,110.5,5.0,6.0,Jaun.,Brick-Panel,All amenities,180000.0,56.968497899999996,24.1467035
For sale,centrs,Brīvības iela 161,3,73.0,3.0,5.0,Renov.,Masonry,All amenities,155000.0,56.9667358,24.14563510531528
For sale,Teika,Ropažu 14a,4,93.0,3.0,10.0,Jaun.,Masonry,All amenities,144000.0,56.97584815,24.168936579063875
For rent,centrs,Ausekļa 5,4,152.0,2.0,6.0,Renov.,Masonry,All amenities,1000.0,56.9607232,24.099806810430866
For sale,Sarkandaugava,Sarkandaugavas 26/2,2,43.0,2.0,5.0,Hrušč.,Brick-Panel,All amenities,42900.0,56.998725300000004,24.1235645
For sale,centrs,Brīvības iela 114,2,62.0,4.0,6.0,Renov.,Brick,All amenities,113500.0,56.961977100000006,24.1348346
For sale,centrs,Vīlandes 16,2,50.0,2.0,6.0,Renov.,Brick,All amenities,145000.0,56.9613741,24.1021747
For rent,Ķengarags,Ikšķiles 23,1,35.0,1.0,9.0,Čehu pr.,Brick,All amenities,250.0,56.9042432,24.210256100000002
For sale,Sarkandaugava,Sliežu 29,3,61.0,1.0,3.0,Specpr.,Brick,All amenities,59000.0,57.00751995,24.12498495
For rent,centrs,Matīsa 38,2,50.0,3.0,6.0,Renov.,Brick,All amenities,27.0,56.95534839999999,24.136677399999996
For sale,Zolitūde,Ruses 26,3,78.0,6.0,9.0,119.,Panel,All amenities,85900.0,56.9454805,24.009710100000003
For sale,Purvciems,Deglava 35,2,69.2,2.0,3.0,P. kara,Masonry,Partial amenities,38406.0,56.9518739,24.168621695562738
For rent,Pļavnieki,Dzeņu 14,1,42.0,5.0,9.0,M. ģim.,Panel,All amenities,250.0,56.93927555000001,24.21306124028908
For rent,centrs,Tirgoņu 17,2,67.0,4.0,5.0,P. kara,Brick,All amenities,44.0,56.94848149999999,24.1061513
For rent,Vecrīga,Grēcinieku 20,2,80.0,4.0,5.0,Renov.,Masonry,All amenities,44.0,56.946788600000005,24.1080762
For sale,centrs,Vēžu 14,2,54.0,1.0,6.0,Jaun.,Panel-Brick,All amenities,89000.0,56.9703444,24.1001017
For sale,centrs,Pērnavas 10,2,60.0,1.0,5.0,Staļina,Masonry,All amenities,95000.0,56.964723899999996,24.1477109
For rent,Purvciems,Stirnu 19a,1,37.0,2.0,5.0,LT proj.,Panel,All amenities,300.0,56.95698215,24.1805314081534
For sale,Iļģuciems,Motoru 5,2,50.0,5.0,5.0,LT proj.,Panel,All amenities,47500.0,56.9695545,24.066990643941864
For rent,Ķengarags,Aviācijas 10,3,56.0,4.0,4.0,Hrušč.,Brick,All amenities,200.0,56.90102465,24.20457917835229
For sale,Āgenskalns,Ventspils 25,1,27.0,2.0,2.0,P. kara,Wood,Partial amenities,10400.0,56.94920210000001,23.958741500000002
For sale,Ziepniekkalns,Dignājas 1a,2,49.0,3.0,4.0,Jaun.,Masonry,All amenities,81184.0,56.9126889,24.1234641
For sale,Zolitūde,Lejiņa 6,2,54.0,1.0,9.0,119.,Panel,All amenities,57000.0,56.9459191,24.01768349355387
For sale,Ķengarags,Prūšu 9a,3,56.0,2.0,5.0,Specpr.,Brick,All amenities,52000.0,56.9150615,24.18654975
Change,Pļavnieki,Deglava,1,38.0,2.0,5.0,103.,Brick,All amenities,45000.0,56.9524806,24.16103075923369
For sale,Mežciems,Eizenšteina 73,4,76.0,6.0,9.0,602.,Panel,All amenities,80000.0,56.96044135,24.232444124235315
