op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For sale,Āgenskalns,Kuldīgas 10,1,17.5,1.0,2.0,P. kara,Wood,Partial amenities,9890.0,56.951762800000004,24.067348709240818
For sale,Jugla,Kvēles 27,2,45.0,1.0,5.0,LT proj.,Panel,All amenities,41000.0,56.98203929999999,24.246020693013463
For rent,centrs,Pērnavas 10,1,32.0,5.0,5.0,Hrušč.,Brick,All amenities,255.0,56.964723899999996,24.1477109
For rent,Purvciems,Sesku 26,1,42.0,3.0,5.0,M. ģim.,Brick-Panel,All amenities,270.0,56.9449076,24.17802943789207
For sale,Ziepniekkalns,Valdeķu 53,3,75.0,9.0,10.0,119.,Panel,All amenities,72000.0,56.90154795,24.092467407342486
For rent,Ziepniekkalns,Ozolciema 18,1,50.0,3.0,9.0,119.,Panel,All amenities,29.0,56.89859735,24.08767079999982
For rent,Ziepniekkalns,Bērzupes 23,1,31.0,2.0,5.0,LT proj.,Panel-Brick,All amenities,250.0,56.915175100000006,24.093057331902827
For sale,Pļavnieki,Lubānas 129,1,41.0,1.0,9.0,M. ģim.,Panel,All amenities,34000.0,56.93257265,24.2080293
For sale,centrs,Pētersalas 2,5,144.0,1.0,5.0,Specpr.,Masonry,All amenities,74800.0,56.9678993,24.10503793415288
For sale,centrs,Ādmiņu 6,2,36.0,2.0,2.0,P. kara,Masonry,Partial amenities,25000.0,56.949362,24.14052317479452
For rent,Jugla,Veldres 32,1,33.0,12.0,12.0,Specpr.,Brick-Panel,All amenities,230.0,56.9764669,24.24432072931075
For rent,Sarkandaugava,Tilta 5,Citi,76.0,2.0,4.0,P. kara,Masonry,All amenities,295.0,56.9950728,24.127396100000002
For rent,Maskavas priekšpilsēta,Daugavpils 76,1,25.0,5.0,6.0,P. kara,Brick,All amenities,250.0,56.9464309,24.14139621313611
For rent,Āgenskalns,Kristapa 8,1,18.0,1.0,4.0,M. ģim.,Brick,All amenities,220.0,56.9428655,24.060963208642875
For sale,Daugavgrīva,Slimnīcas 6,2,53.0,2.0,5.0,103.,Brick-Panel,All amenities,31900.0,57.0408667,24.03274137094086
For rent,centrs,Barona 76,3,67.0,2.0,6.0,Renov.,Masonry,All amenities,750.0,56.95643795,24.132572982155622
For rent,centrs,Tallinas 65,3,83.0,5.0,5.0,Renov.,Masonry,All amenities,900.0,56.95878525,24.144589118130806
For rent,Ķengarags,Prūšu 3,1,30.0,5.0,5.0,LT proj.,Panel,All amenities,220.0,56.916943999999994,24.18423004558955
For sale,centrs,Avotu 4,2,41.0,4.0,5.0,Renov.,Masonry,All amenities,57500.0,56.95081629999999,24.1271389
For rent,centrs,Klijānu 2e,1,30.0,2.0,9.0,Renov.,Brick-Panel,All amenities,270.0,56.974699,24.1449329
For rent,Āgenskalns,Āgenskalna 22,2,41.0,3.0,5.0,Hrušč.,Brick,All amenities,330.0,56.94561039999999,24.0623652
For rent,centrs,Čaka 96,2,62.0,3.0,5.0,Jaun.,Brick-Panel,All amenities,700.0,56.957181299999995,24.139466793963688
For rent,centrs,Ausekļa 7,2,77.0,3.0,6.0,Renov.,Brick,All amenities,600.0,56.96104425,24.099655755347374
For sale,Imanta,Anniņmuižas bulvāris 38,2,60.0,2.0,17.0,Jaun.,Masonry,All amenities,88000.0,56.96112105,24.018216795250048
For sale,Āgenskalns,Mārupes 47,3,68.0,3.0,5.0,Specpr.,Brick-Panel,All amenities,89000.0,56.92716239999999,24.076977177644547
For rent,Imanta,M. Krūmu 6,1,29.0,4.0,5.0,LT proj.,Panel,All amenities,230.0,56.9584558,24.00285610195255
For sale,Dreiliņi,Kaivas 33/1,3,86.0,4.0,4.0,Jaun.,Panel-Brick,All amenities,130000.0,56.9541725,24.2443253
For rent,centrs,Lāčplēša 147,1,20.0,2.0,4.0,Jaun.,Brick,All amenities,210.0,56.9468471,24.133767000000002
